y x1 x2 x3 x4 x5 x6 x7
110.038 1 57.361 0.434 4.317 12 1.715 104.32
86.445 1 52.07 0.437 4.052 13 2.221 94.936
152.419 1 61.397 0.727 7.854 8 7.148 87.87
114.72 1 42.482 0.244 2.297 9 2.272 103.66
111.444 1 29.66 0.449 4.509 6 2.444 101.167
147.882 1 58.217 0.363 4.506 13 6.971 86.432
123.536 0 61.943 0.267 2.424 6 6.338 79.273
143.982 1 47.733 0.505 4.992 13 6.381 93.894
99.109 1 53.535 0.396 3.93 5 1.153 99.304
87.745 1 28.155 0.296 2.34 6 1.342 94.305
77.355 0 70.676 0.24 2.301 10 1.356 107.277
168.885 0 34.754 0.804 8.186 12 8.271 110.212
167.763 1 63.969 0.577 6.008 7 7.624 85.523
127.063 1 50.919 0.242 3.033 14 4.917 97.902
72.153 0 24.322 0.237 3.146 6 0.205 91.094
70.735 0 29.317 0.252 3.481 12 0.268 93.658
92.218 1 54.982 0.285 2.493 11 0.549 93.266
130.098 1 34.689 0.086 1.193 19 6.03 114.562
68.745 1 66.977 0.289 3.642 5 0.72 106.834
61.217 0 57.313 0.107 0.822 11 0.554 89.475
138.521 1 30.444 0.532 4.912 13 4.684 100.689
85.584 0 39.861 0.37 3.799 10 1.976 84.007
183.041 1 102.59 0.71 6.229 21 12.989 146.849
75.173 0 38.512 0.352 4.205 9 0.668 88.584
119.462 1 61.797 0.265 2.703 9 3.875 99.325
79.271 1 60.597 0.37 3.18 8 2.249 101.109
76.705 0 56.227 0.545 5.178 11 1.277 101.688
113.741 0 52.068 0.302 3.587 15 6.227 94.308
144.655 1 39.134 0.259 2.465 10 7.102 110.325
114.277 1 39.198 0.444 4.252 11 4.503 107.631
103.267 1 57.628 0.469 4.422 8 2.083 88.839
159.52 0 62.829 0.512 5.497 17 9.21 95.247
79.512 1 48.489 0.339 3.233 9 0.539 89.156
43.896 0 61.214 0.366 4.291 6 0.406 102.747
82.448 0 44.593 0.435 4.836 8 2.396 101.746
74.093 0 54.722 0.286 2.317 4 0.246 109.994
114.02 1 54.228 0.32 3.426 5 3.196 102.241
60.506 0 56.917 0.309 2.641 12 0.459 88.816
90.682 0 55.443 0.396 3.373 9 3.228 103.366
96.693 1 46.313 0.44 5.144 13 1.75 95.798
135.418 1 36.161 0.656 6.496 7 2.49 86.876
109.005 0 61.845 0.371 4.324 5 5.523 106.522
50.31 0 48.101 0.506 4.631 7 0.392 107.017
79.677 0 71.57 0.751 6.63 11 0.683 123.477
109.2 0 43.642 0.816 8.546 4 3.089 94.579
